Species,Location,Latitude,Longitude,Observation Date
Anthus rubescens,"Issaquah, WA, USA",47.5593062169,-122.0604092845,2024-10-05
Colaptes auratus,"Issaquah, WA, USA",47.5594331268,-122.0598609282,2024-10-05
Turdus migratorius,"Issaquah, WA, USA",47.5592933692,-122.0614327851,2024-10-05
Zonotrichia leucophrys,"Issaquah, WA, USA",47.5577080785,-122.0671876623,2024-10-05
Chroicocephalus philadelphia,"Issaquah, WA, USA",47.5576923894,-122.0675534621,2024-10-05
Anas crecca,"Issaquah, WA, USA",47.5580728793,-122.0675979283,2024-10-05
Larus brachyrhynchus,"Issaquah, WA, USA",47.5580608034,-122.0664956647,2024-10-05
Fulica americana,"Issaquah, WA, USA",47.5592346313,-122.0663689765,2024-10-05
Nannopterum auritum,"Issaquah, WA, USA",47.5602784474,-122.0656801421,2024-10-05
Larus glaucescens × occidentalis,"Issaquah, WA, USA",47.5593869765,-122.0654291339,2024-10-05
Podiceps grisegena,"Issaquah, WA, USA",47.5594278061,-122.0662569819,2024-10-05
Podilymbus podiceps,"Issaquah, WA, USA",47.559543189,-122.0660809444,2024-10-05
Aechmophorus occidentalis,"Issaquah, WA, USA",47.5595002069,-122.0662519469,2024-10-05
Branta canadensis,"Issaquah, WA, USA",47.5584312349,-122.0625678685,2024-10-05
Anser albifrons,"Issaquah, WA, USA",47.5581862969,-122.0625450697,2024-10-05
Zonotrichia leucophrys,"Issaquah, WA, USA",47.5623087944,-122.0641434178,2024-09-28
Colaptes auratus,"Issaquah, WA, USA",47.5625095997,-122.0638180754,2024-09-28
Lophodytes cucullatus,"Issaquah, WA, USA",47.560478285,-122.06435668,2024-09-28
Podilymbus podiceps,"Issaquah, WA, USA",47.5604362029,-122.0642829192,2024-09-28
Haliaeetus leucocephalus,"Issaquah, WA, USA",47.5658332642,-122.05546233,2024-09-22
Mareca strepera,"Issaquah, WA, USA",47.5614091314,-122.0651561809,2024-09-22
Anas platyrhynchos domesticus,"Issaquah, WA, USA",47.5619521146,-122.0651293588,2024-09-22
Fulica americana,"Issaquah, WA, USA",47.5621548367,-122.0659354408,2024-09-22
Setophaga coronata,"Issaquah, WA, USA",47.5619674642,-122.0656899782,2024-09-22
Fulica americana,"Lake Sammamish State Park, Issaquah, WA, US",47.55927,-122.0652555,2024-10-06
Anser albifrons,Issaquah,47.5578918457,-122.0645523071,2024-10-06
Turdus migratorius,"Providence Point, Issaquah, WA 98029, USA",47.5647594584,-122.0509242386,2024-08-07
Thryomanes bewickii,"W Lake Sammamish Pkwy SE, Issaquah, WA, US",47.5610753551,-122.0652585135,2024-09-07
Bombycilla cedrorum,"Providence Point, Issaquah, WA 98029, USA",47.5651694479,-122.0510006454,2024-08-16
Buteo jamaicensis,"Providence Point, Issaquah, WA 98029, USA",47.5654180083,-122.047021601,2024-08-16
Colaptes auratus,"Providence Point, Issaquah, WA 98029, USA",47.5649334125,-122.051144649,2024-08-15
Bombycilla cedrorum,"Providence Point, Issaquah, WA 98029, USA",47.5646619217,-122.0516843726,2024-08-14
Pandion haliaetus,"Providence Point, Issaquah, WA 98029, USA",47.5644221454,-122.0515762462,2024-08-14
Molothrus ater,"Issaquah, WA, USA",47.5584762152,-122.0643321741,2024-08-08
Contopus sordidulus,"Providence Point, Issaquah, WA 98029, USA",47.565000338,-122.0503526432,2024-08-09
Aves,"Providence Point, Issaquah, WA 98029, USA",47.565134033,-122.046614433,2024-08-08
Patagioenas fasciata,"Providence Point, Issaquah, WA 98029, USA",47.5655394947,-122.0504444626,2024-08-08
Pandion haliaetus,"Issaquah, WA, USA",47.5649762946,-122.0554605861,2024-08-07
Cyanocitta stelleri,"Providence Point, Issaquah, WA 98029, USA",47.5654353329,-122.050810285,2024-08-06
Strix varia,"North Issaquah, Issaquah, WA, USA",47.5617559958,-122.0464449101,2024-08-02
Pandion haliaetus,"Providence Point, Issaquah, WA 98029, USA",47.5653178477,-122.0488264819,2024-07-31
Haliaeetus leucocephalus,"Issaquah, WA, USA",47.5603437179,-122.0650400862,2024-08-01
Contopus sordidulus,"Providence Point, Issaquah, WA 98029, USA",47.5648213883,-122.051277638,2024-07-31
Ardea herodias,"Issaquah, WA, USA",47.5655230591,-122.0562585501,2024-07-31
Larus californicus,"Issaquah, WA, USA",47.564853845,-122.0556607767,2024-07-31
Molothrus ater,"Providence Point, Issaquah, WA 98029, USA",47.5642956196,-122.0508720327,2024-07-31
Patagioenas fasciata,"Issaquah, WA, USA",47.5595964359,-122.067212237,2024-08-07
Haliaeetus leucocephalus,"Issaquah, WA, USA",47.5599501591,-122.0652220946,2024-07-30
Piranga ludoviciana,"Providence Point, Issaquah, WA 98029, USA",47.5655200125,-122.0497360357,2024-07-30
Turdus migratorius,"Providence Point, Issaquah, WA 98029, USA",47.5645182736,-122.0504922159,2024-07-30
Contopus sordidulus,"Providence Point, Issaquah, WA 98029, USA",47.5646595204,-122.0506772925,2024-07-30
Catharus guttatus,"Providence Point, Issaquah, WA 98029, USA",47.5643808616,-122.0512459361,2024-07-29
Buteo jamaicensis,"Providence Point, Issaquah, WA 98029, USA",47.5655246749,-122.0519111239,2024-08-07
Falco columbarius,"Providence Point, Issaquah, WA 98029, USA",47.5651192755,-122.0508167826,2024-07-29
Tyto furcata,"E Lake Sammamish Pkwy SE, Issaquah, WA, US",47.5652015882,-122.0494357108,2024-08-02
Anas platyrhynchos,"Issaquah, WA, USA",47.5582042569,-122.0633395812,2024-08-11
Branta canadensis,"Issaquah, WA, USA",47.5582042569,-122.0633395812,2024-08-11
Haliaeetus leucocephalus,"Issaquah, WA, USA",47.5582042569,-122.0633395812,2024-08-11
Fulica americana,"Issaquah, WA, USA",47.5582042569,-122.0633395812,2024-08-11
Piranga ludoviciana,"Issaquah, WA, USA",47.5582042569,-122.0633395812,2024-08-11
Molothrus ater,"Issaquah, WA, USA",47.5582042569,-122.0633395812,2024-08-11
Colaptes auratus,"Issaquah, WA, USA",47.5582042569,-122.0633395812,2024-08-11
Bombycilla cedrorum,"Lake Sammamish State Park, Issaquah, WA, US",47.5615586684,-122.059128898,2024-08-03
Poecile rufescens,"Lake Sammamish State Park, Issaquah, WA, US",47.5595244741,-122.0623210593,2024-08-03
Haliaeetus leucocephalus,"Lake Sammamish State Park, Issaquah, WA, US",47.5622382557,-122.0649118463,2024-08-03
Mareca strepera,"Issaquah Creek, Issaquah, WA, US",47.5618950591,-122.0647367246,2024-08-03
Anas platyrhynchos,"Lake Sammamish, Issaquah, WA, US",47.5598011328,-122.065117102,2024-08-03
Pandion haliaetus,"Lake Sammamish, Issaquah, WA, US",47.5597852157,-122.0659300861,2024-08-03
Calidris minutilla,"Lake Sammamish State Park, Issaquah, WA, US",47.5575593546,-122.0677921877,2024-08-03
Charadrius vociferus,"Lake Sammamish, Issaquah, WA, US",47.5576492914,-122.0675982611,2024-08-03
Actitis macularius,"Lake Sammamish, Issaquah, WA, US",47.5577572626,-122.0672286817,2024-08-03
Aechmophorus occidentalis,"Issaquah, WA, USA",47.5587194444,-122.0658722222,2024-07-26
