Species,Location,Latitude,Longitude,Observation Date
Spotted Towhee,"Lawton Park, Seattle, WA 98199, USA",47.6648402765,-122.4196939434,2024-10-21
American Wigeon,"Lawton Park, Seattle, WA 98199, USA",47.6680284339,-122.4150858194,2024-10-21
Dark-eyed Junco,"Lawton Park, Seattle, WA 98199, USA",47.6662438116,-122.4191749939,2024-10-21
Mallard,"Lawton Park, Seattle, WA 98199, USA",47.6679706333,-122.4151386675,2024-10-21
Townsend's Warbler,"Lawton Park, Seattle, WA 98199, USA",47.6681995282,-122.416669915,2024-10-21
Belted Kingfisher,"King County, US-WA, US",47.6679561831,-122.4153073526,2024-10-21
House Finch,"Lawton Park, Seattle, WA 98199, USA",47.6680806491,-122.4166645503,2024-10-21
Mallard (Eastern),"Bernie Whitebear Way, Seattle, WA, US",47.6679058082,-122.4149331641,2024-10-20
Western Gull,"Seattle, WA, USA",47.6626523092,-122.433593264,2024-10-08
Rock Pigeon,"Seattle, WA, USA",47.6634615939,-122.4317049889,2024-10-08
European Starling,"Magnolia, Seattle, WA 98199, USA",47.6627203126,-122.4321705599,2024-10-08
Red-necked Grebe,"Seattle, WA, USA",47.6635500246,-122.431510521,2024-10-08
Western Gull,"Magnolia, Seattle, WA 98199, USA",47.6603080507,-122.4316896017,2024-08-11
Osprey,"Magnolia, Seattle, WA 98199, USA",47.6603080507,-122.4316896017,2024-08-11
Song Sparrow,"Magnolia, Seattle, WA 98199, USA",47.6603080507,-122.4316896017,2024-08-11
Great Blue Heron,"Magnolia, Seattle, WA 98199, USA",47.6603080507,-122.4316896017,2024-08-11
Red-necked Grebe,"Seattle, WA, USA",47.663360235,-122.4325641796,2024-10-19
Western Gull,"Magnolia, Seattle, WA 98199, USA",47.6629590737,-122.4312673384,2024-10-19
Brown-headed Cowbird,"Lawton Park, Seattle, WA 98199, USA",47.66177421,-122.4200470786,2023-07-30
Western Gull,"Magnolia, Seattle, WA 98199, USA",47.6595496067,-122.4298275307,2024-10-03
American Herring Gull,"Magnolia, Seattle, WA 98199, USA",47.6626941004,-122.4321326329,2024-10-03
Merlin,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-10-05
Orange-crowned Warbler,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-10-05
Red-naped Sapsucker,"Discovery Park, Seattle, WA, US",47.6622716667,-122.4193633333,2024-09-21
Great Blue Heron,"Magnolia, Seattle, WA 98199, USA",47.6609895917,-122.4336402118,2024-09-19
Hutton's Vireo,"Texas Way W, Seattle, WA, US",47.6647622024,-122.4101411611,2024-08-31
Chestnut-backed Chickadee,"Discovery Park, Seattle, WA, US",47.658751419,-122.4220288165,2024-08-31
Western Sandpiper,"N Beach Trail, Seattle, WA, US",47.662692928,-122.4317484121,2024-09-15
Western Gull,"Seattle, WA, USA",47.6638693339,-122.433056791,2024-09-15
Green Heron,"N Beach Trail, Seattle, WA, US",47.6634383333,-122.4289633333,2024-08-31
Horned Grebe,"Shilshole Bay, Seattle, WA, US",47.667805,-122.421945,2024-08-31
Cooper's Hawk,"Discovery Park, Seattle, WA, US",47.65588,-122.41693,2024-09-15
Peregrine Falcon,"S Beach Trail, Seattle, WA, US",47.6607166667,-122.43273,2024-09-15
Glaucous-winged Gull,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-09-10
Corvus brachyrhynchos,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-09-10
Mallard,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-09-10
Belted Kingfisher,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-09-10
Brandt's Cormorant,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-09-10
Bushtit,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-09-10
Dark-eyed Junco,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-09-10
Ring-billed Gull,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-09-10
Red-breasted Nuthatch,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-09-10
Song Sparrow,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-09-10
Black-capped Chickadee,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-09-07
Great Blue Heron,"Lawton Park, Seattle, WA 98199, USA",47.6606777778,-122.4296694444,2024-09-07
Sanderling,"Seattle, WA, US",47.6587601798,-122.4274377712,2024-09-08
Great Blue Heron,"S Beach Trail, Seattle, WA, US",47.6585707961,-122.4283415421,2024-09-01
Cooper's Hawk,"Discovery Park, Seattle, WA, US",47.6623548293,-122.4153034028,2024-08-31
Semipalmated Plover,"Discovery Park, Seattle, WA, US",47.6611658779,-122.4165935809,2024-08-31
Western Sandpiper,"Lawton Park, Seattle, WA 98199, USA",47.6608382966,-122.4309601824,2024-08-31
Black-capped Chickadee,"Lawton Park, Seattle, WA 98199, USA",47.6603026476,-122.430299796,2024-08-31
Warbling Vireo,"Lawton Park, Seattle, WA 98199, USA",47.6613795047,-122.418448734,2024-08-31
Anna's Hummingbird,"Lawton Park, Seattle, WA 98199, USA",47.6614400605,-122.4186633107,2024-08-31
American Goldfinch,"Lawton Park, Seattle, WA 98199, USA",47.6614455566,-122.418384361,2024-08-31
Wilson's Warbler,"Lawton Park, Seattle, WA 98199, USA",47.6615143569,-122.4188594286,2024-08-31
Western Wood-Pewee,"Lawton Park, Seattle, WA 98199, USA",47.661565246,-122.4184791876,2024-08-31
Dark-eyed Junco,"Lawton Park, Seattle, WA 98199, USA",47.6642979995,-122.4171167093,2024-08-31
Least Sandpiper,"Magnolia, Seattle, WA 98199, USA",47.6606238846,-122.4327221383,2024-08-31
Barred Owl,"42nd Ave W, Seattle, WA, US",47.6686972716,-122.4105562475,2024-08-31
Olive-sided Flycatcher,"King County, US-WA, US",47.6688270549,-122.4177734369,2024-08-27
Glaucous-winged Gull,"Magnolia, Seattle, WA 98199, USA",47.664750855,-122.4265229298,2024-08-25
Western x Glaucous-winged Gull (hybrid),"Magnolia, Seattle, WA 98199, USA",47.6638043031,-122.4288510872,2024-08-25
Least Sandpiper,"Magnolia, Seattle, WA 98199, USA",47.660791119,-122.4331640793,2024-08-25
Spotted Sandpiper,"Magnolia, Seattle, WA 98199, USA",47.6635008248,-122.4296235634,2024-08-25
Western Gull,"Lawton Park, Seattle, WA, US",47.6581633333,-122.4280616667,2024-08-22
Chestnut-backed Chickadee,"Lawton Park, Seattle, WA 98199, USA",47.6643875774,-122.4211465193,2024-06-23
Wilson's Warbler,"Lawton Park, Seattle, WA 98199, USA",47.6663611997,-122.4204988961,2024-06-23
Bushtit,"Lawton Park, Seattle, WA 98199, USA",47.664409427,-122.4270057753,2024-06-23
Great Blue Heron,"Bernie Whitebear Way, Seattle, WA, US",47.66788,-122.41527,2024-08-18
Western Gull,"Magnolia, Seattle, WA 98199, USA",47.6609027778,-122.4336138889,2024-08-18
Bushtit,"Discovery Park Blvd, Seattle, WA, US",47.6614583333,-122.4338883333,2024-08-12
Pileated Woodpecker,"Discovery Park, Seattle, WA, US",47.6600478524,-122.4169299102,2024-08-17
Chestnut-backed Chickadee,"Bernie Whitebear Way, Seattle, WA, US",47.666295,-122.41198,2024-08-11
Western x Glaucous-winged Gull (hybrid),"N Beach Trail, Seattle, WA, US",47.6658583333,-122.4243166667,2024-08-11
Caspian Tern,"Shilshole Bay, Seattle, WA, US",47.6628533333,-122.4319616667,2024-08-11
Pigeon Guillemot,"Shilshole Bay, Seattle, WA, US",47.662705,-122.4333116667,2024-08-11
Bushtit,"Discovery Park Blvd, Seattle, WA, US",47.6607283333,-122.43065,2024-08-11
Dark-eyed Junco,"Lawton Park, Seattle, WA 98199, USA",47.6620609103,-122.4271907236,2024-08-10
Chestnut-backed Chickadee,"Lawton Park, Seattle, WA 98199, USA",47.6666201537,-122.418823515,2024-08-10
Brown Creeper,"Discovery Park, Seattle, WA 98199, USA",47.6613197,-122.4171413,2024-06-28
Barred Owl,"Lawton Park, Seattle, WA 98199, USA",47.6626722222,-122.4216194444,2024-08-03
